iter	RMSE
0	0.2329799894
1	0.2324998647
2	0.2320868237
3	0.2317050883
4	0.2313897066
5	0.2311467006
6	0.2309263274
7	0.2307180103
8	0.2304974225
9	0.2302035114
10	0.2300049793
11	0.2297909302
12	0.2295836896
13	0.2293920219
14	0.2292047547
15	0.2290272292
16	0.2288671325
17	0.2287252071
18	0.2285696382
19	0.228410695
20	0.2282534403
21	0.2281176693
22	0.2279860175
23	0.2278466532
24	0.2277125467
25	0.2275660623
26	0.2273948875
27	0.2272442643
28	0.2271069567
29	0.2269670882
30	0.2268592625
31	0.2267277394
32	0.2266108792
33	0.2264721086
34	0.2263721964
35	0.2262548384
36	0.2261527053
37	0.226030262
38	0.2258850417
39	0.2258261653
40	0.2257175143
41	0.225583605
42	0.2254443476
43	0.2253490916
44	0.2252306815
45	0.2251322425
46	0.2250267175
47	0.2249188909
48	0.2247903599
49	0.2247066735
50	0.2246010667
51	0.2244839844
52	0.2243703898
53	0.2242647272
54	0.2241617319
55	0.2240626212
56	0.2239694048
57	0.2238860853
58	0.2238126155
59	0.2237076059
60	0.2236027971
61	0.2235038608
62	0.2233943355
63	0.2232940096
64	0.2232340209
65	0.2231570041
66	0.2230931982
67	0.2230188089
68	0.2229186516
69	0.2228531017
70	0.2227747129
71	0.2226803097
72	0.2225803325
73	0.2224704066
74	0.2223774936
75	0.2222963923
76	0.2222033107
77	0.2221403172
78	0.2220502125
79	0.2219666628
80	0.2218315536
81	0.2217646858
82	0.2216972528
83	0.2216180511
84	0.2215348398
85	0.2214799913
86	0.2214025244
87	0.2212551854
88	0.2211804708
89	0.2211214502
90	0.2210412052
91	0.2209998948
92	0.2209541349
93	0.2208689652
94	0.2208064491
95	0.2207373936
96	0.2206647223
97	0.2205839052
98	0.2204784984
99	0.2203771835
100	0.2202677029
101	0.220196508
102	0.2201323578
103	0.2200582001
104	0.2199779185
105	0.2199145944
106	0.2198643945
107	0.2197905196
108	0.2197414769
109	0.2195902687
110	0.2195267982
111	0.2193899851
112	0.2193216971
113	0.2192267229
114	0.2191331827
115	0.2190584161
116	0.2189779387
117	0.2189298899
118	0.2188677518
119	0.2188089151
120	0.2187034054
121	0.2186266484
122	0.2185600227
123	0.2184863421
124	0.218371309
125	0.2183207393
126	0.2182220544
127	0.2181798757
128	0.2181119018
129	0.2180362343
130	0.2179638258
131	0.2179073783
132	0.217862803
133	0.2177832808
134	0.2176345407
135	0.2175184931
136	0.2174503472
137	0.2173583278
138	0.2172566734
139	0.21718718
140	0.2171321322
141	0.2170690059
142	0.2170241376
143	0.2169554516
144	0.2168847455
145	0.2168295445
146	0.2167412229
147	0.2166937475
148	0.2166047291
149	0.2165614506
150	0.2164947113
151	0.216437688
152	0.2163697222
153	0.216312717
154	0.2162574794
155	0.2161654962
156	0.2161125501
157	0.2160626349
158	0.2159658307
159	0.2158653465
160	0.2157484508
161	0.2156774311
162	0.215607754
163	0.2155662141
164	0.2155092836
165	0.2154049085
166	0.2153393957
167	0.215274454
168	0.2152123999
169	0.2151616852
170	0.2150989868
171	0.2150553173
172	0.2150087341
173	0.2149802093
174	0.2149246781
175	0.2148869465
176	0.2148500967
177	0.2148196163
178	0.2147933498
179	0.214755198
180	0.2146264339
181	0.214598256
182	0.2145333519
183	0.2145074188
184	0.2144796004
185	0.2143996293
186	0.214315656
187	0.2142674453
